City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Busselton,AU,2020-07-09 16:13:35,-33.65,115.33,45.0,86,3,8.59
95,Zhangjiakou,CN,2020-07-09 16:16:05,40.81,114.88,61.61,82,65,7.74
96,Havoysund,NO,2020-07-09 16:16:05,71.0,24.66,53.6,81,75,16.11
97,Berdigestyakh,RU,2020-07-09 16:16:05,62.1,126.7,66.38,53,100,10.51
98,Tezu,IN,2020-07-09 16:16:05,27.92,96.17,75.56,87,100,3.87
99,Beringovskiy,RU,2020-07-09 16:16:06,63.05,179.32,53.58,75,97,2.93
100,San Luis,AR,2020-07-09 16:16:06,-33.3,-66.34,54.81,41,3,18.32
101,Bandarbeyla,SO,2020-07-09 16:16:06,9.49,50.81,80.01,71,100,33.89
102,Tunceli,TR,2020-07-09 16:16:06,39.11,39.55,93.2,16,20,8.05
103,Lebu,CL,2020-07-09 16:16:07,-37.62,-73.65,53.15,94,100,22.48
104,Pavino,RU,2020-07-09 16:16:07,59.11,46.14,67.12,96,26,8.52
105,Constanta,RO,2020-07-09 16:16:07,44.18,28.65,77.0,47,8,12.75
106,Okhotsk,RU,2020-07-09 16:16:07,59.38,143.3,51.87,94,100,8.25
107,Uyemskiy,RU,2020-07-09 16:16:08,64.47,40.85,66.2,93,90,8.95
108,Comodoro Rivadavia,AR,2020-07-09 16:14:22,-45.87,-67.5,42.8,75,100,6.93
109,Chabahar,IR,2020-07-09 16:16:08,25.29,60.64,88.29,79,98,15.9
110,Codrington,AU,2020-07-09 16:16:08,-38.27,141.97,43.77,80,100,8.55
111,Reconquista,AR,2020-07-09 16:12:10,-29.15,-59.65,56.91,57,0,4.94
112,Yakeshi,CN,2020-07-09 16:16:09,49.28,120.73,59.97,59,0,4.38
113,Dongying,CN,2020-07-09 16:16:09,37.46,118.49,76.96,67,61,4.99
114,Porto Velho,BR,2020-07-09 16:16:09,-8.76,-63.9,87.8,58,20,4.7
115,Los Llanos De Aridane,ES,2020-07-09 16:16:09,28.66,-17.92,77.0,69,20,16.11
116,Mehran,IR,2020-07-09 16:16:10,33.12,46.16,91.4,15,0,4.7
117,Ambilobe,MG,2020-07-09 16:16:10,-13.2,49.05,74.28,60,0,13.53
118,Darnah,LY,2020-07-09 16:16:10,32.77,22.64,78.04,71,0,20.18
