City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
452,Diffa,NE,clear sky,85.46,13.32,12.61,ProDAF/Diffa
455,Jhang,PK,clear sky,78.8,33.67,72.7,Nazakat khan market
456,Asind,IN,overcast clouds,81.84,25.73,74.33,ZAKARIYA HOUSE ZAKARIYA COLONY CHHIPA
461,Kieta,PG,broken clouds,85.73,-6.22,155.63,
463,Nago,JP,scattered clouds,87.8,26.59,127.98,Hotel Yugaf Inn Okinawa
468,Evanston,US,scattered clouds,82.99,42.04,-87.69,Hilton Garden Inn Chicago North Shore/Evanston
469,Chegdomyn,RU,scattered clouds,79.63,51.12,133.02,Gostinitsa Bureya
475,Ahuimanu,US,broken clouds,87.8,21.44,-157.84,Paradise Bay Resort
476,Sao Geraldo Do Araguaia,BR,broken clouds,76.8,-6.4,-48.55,Hotel Rio Araguaia
479,Washington,US,clear sky,86.0,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
482,Viransehir,TR,clear sky,81.05,37.24,39.76,Viranşehir Öğretmenevi
484,Ibra,OM,overcast clouds,84.54,22.69,58.53,مزرعة راحة النفوس المنزفة
485,Jaisalmer,IN,scattered clouds,86.49,26.91,70.92,Hotel Fifu
492,Tateyama,JP,light intensity shower rain,78.8,34.98,139.87,Tateyama Seaside Hotel
495,Mayo,US,clear sky,84.2,38.89,-76.51,Resorts Resource Group International
499,Gorontalo,ID,broken clouds,82.26,0.54,123.06,Maqna Hotel by Prasanthi
501,Clearwater,US,broken clouds,87.01,27.97,-82.8,Shephard's Beach Resort
503,Baker City,US,clear sky,86.0,44.77,-117.83,Bridge Street Inn
505,Shubarshi,KZ,clear sky,78.64,48.59,57.19,
508,Martapura,ID,mist,77.0,-3.42,114.85,Montana Hotel Syariah
512,Banda Aceh,ID,overcast clouds,80.89,5.56,95.32,OYO 884 Rumoh PMI Hotel
514,Meulaboh,ID,overcast clouds,78.4,4.14,96.13,Kost Pria
521,Hami,CN,overcast clouds,81.88,42.8,93.45,Laoyutang Resort
522,Nara,JP,shower rain,77.0,34.69,135.8,Guesthouse Nara Komachi
525,Oussouye,SN,overcast clouds,82.4,12.48,-16.55,Auberge du Routard
530,Asyut,EG,clear sky,77.0,27.18,31.18,Florence Hotel Assiut
534,Damietta,EG,clear sky,77.0,31.42,31.81,السيد السيد بدر للكراسي
535,Beyneu,KZ,clear sky,79.43,45.32,55.2,NUR
539,Hambantota,LK,overcast clouds,80.78,6.12,81.12,Bungalow 63
540,Riyadh,SA,clear sky,87.8,24.69,46.72,InterContinental Riyadh
541,Garowe,SO,clear sky,77.04,8.41,48.48,Curubo Hotel
543,Madang,PG,few clouds,86.81,-5.22,145.8,Comfort Inn Hotel
545,Clarksville,US,few clouds,86.0,36.53,-87.36,Westgate Inn & Suites
548,Port Blair,IN,overcast clouds,82.9,11.67,92.75,Hotel Sentinel
553,Peleduy,RU,clear sky,79.43,59.63,112.74,Гостиница «Уют»
555,Honiara,SB,shower rain,86.0,-9.43,159.95,Heritage Park Hotel
561,Faanui,PF,broken clouds,77.9,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
563,Sturgeon Bay,US,clear sky,80.6,44.83,-87.38,AmericInn by Wyndham Sturgeon Bay
565,Monroe,US,broken clouds,84.99,43.15,-77.68,Staybridge Suites Rochester University
567,Chor,PK,broken clouds,88.72,25.52,69.77,Asad U Bajeer Hotel
568,Filingue,NE,overcast clouds,85.32,14.35,3.32,
572,Guerrero Negro,MX,overcast clouds,78.89,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
577,Lincoln,US,clear sky,84.99,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
